Wavelength [nm],Rd [-],Tt [-]
400.047,0.10406,0.10555
400.506,0.10253,0.10667
400.964,0.09918,0.10546
401.423,0.09918,0.10276
401.881,0.09744,0.10032
402.34,0.09661,0.09876
402.798,0.09411,0.09711
403.256,0.09154,0.09713
403.715,0.08999,0.0951
404.173,0.08892,0.09375
404.631,0.08897,0.09152
405.09,0.08662,0.09036
405.548,0.08413,0.08931
406.006,0.08525,0.08938
406.464,0.08102,0.08864
406.923,0.08278,0.0871
407.381,0.08001,0.08569
407.839,0.07908,0.08574
408.297,0.07958,0.08444
408.755,0.0785,0.0829
409.213,0.07759,0.0824
409.671,0.07539,0.08253
410.129,0.07578,0.08244
410.587,0.07557,0.08302
411.045,0.07568,0.08059
411.503,0.07474,0.08008
411.961,0.07483,0.08064
412.419,0.07409,0.0815
412.876,0.07426,0.0818
413.334,0.07448,0.0814
413.792,0.0749,0.08155
414.25,0.07432,0.08269
414.708,0.07554,0.08259
415.165,0.07498,0.08337
415.623,0.07606,0.08402
416.081,0.07589,0.08525
416.538,0.07696,0.08603
416.996,0.07669,0.08721
417.454,0.07755,0.0872
417.911,0.0786,0.08906
418.369,0.07964,0.09102
418.826,0.07979,0.09258
419.284,0.08015,0.09349
419.741,0.08238,0.09653
420.199,0.08387,0.09815
420.656,0.08433,0.09927
421.113,0.08591,0.10235
421.571,0.08729,0.10389
422.028,0.08859,0.10586
422.485,0.0915,0.10827
422.943,0.09305,0.11058
423.4,0.09452,0.11327
423.857,0.0949,0.11632
424.314,0.09801,0.11842
424.772,0.10024,0.12061
425.229,0.10161,0.12387
425.686,0.10325,0.12532
426.143,0.10548,0.12941
426.6,0.10842,0.13109
427.057,0.10962,0.13407
427.514,0.11273,0.13649
427.971,0.11538,0.13928
428.428,0.11575,0.14146
428.885,0.11932,0.14455
429.342,0.12148,0.1481
429.799,0.12302,0.15028
430.256,0.12583,0.15308
430.713,0.12787,0.15624
431.17,0.13005,0.15992
431.627,0.13355,0.16102
432.083,0.13602,0.16325
432.54,0.13754,0.16645
432.997,0.13968,0.1694
433.454,0.1429,0.1726
433.91,0.14478,0.17488
434.367,0.14765,0.17727
434.824,0.14986,0.18023
435.28,0.15373,0.18247
435.737,0.1548,0.18641
436.193,0.15773,0.18764
436.65,0.16009,0.19072
437.106,0.1626,0.19235
437.563,0.16569,0.19627
438.019,0.16764,0.19834
438.476,0.17118,0.2004
438.932,0.17259,0.20275
439.388,0.1753,0.20532
439.845,0.17823,0.20742
440.301,0.18025,0.20962
440.757,0.18238,0.21271
441.214,0.18376,0.21456
441.67,0.18696,0.21647
442.126,0.18883,0.21813
442.582,0.19026,0.22105
443.039,0.19294,0.22249
443.495,0.19477,0.22456
443.951,0.19796,0.22693
444.407,0.19963,0.22848
444.863,0.20106,0.23096
445.319,0.20291,0.23312
445.775,0.20457,0.23416
446.231,0.20522,0.23583
446.687,0.20837,0.23806
447.143,0.2103,0.239
447.599,0.21055,0.24116
448.055,0.2126,0.24225
448.511,0.21386,0.24381
448.967,0.21523,0.24503
449.422,0.21583,0.24693
449.878,0.21818,0.24811
450.334,0.21874,0.24886
450.79,0.21995,0.24988
451.245,0.22254,0.25205
451.701,0.22259,0.25331
452.157,0.22376,0.25429
452.612,0.2245,0.2549
453.068,0.22662,0.25689
453.524,0.22671,0.25829
453.979,0.22828,0.25957
454.435,0.22881,0.26027
454.89,0.2303,0.26241
455.346,0.23092,0.26327
455.801,0.23251,0.26441
456.257,0.23262,0.2658
456.712,0.2331,0.26662
457.168,0.23409,0.26787
457.623,0.23535,0.26822
458.078,0.23694,0.27005
458.534,0.23676,0.27066
458.989,0.23788,0.27172
459.444,0.23944,0.27234
459.899,0.24018,0.2732
460.354,0.24014,0.27419
460.81,0.24,0.27465
461.265,0.24098,0.27562
461.72,0.24332,0.27708
462.175,0.24296,0.27758
462.63,0.24383,0.27863
463.085,0.24444,0.28002
463.54,0.24377,0.28056
463.995,0.24593,0.28145
464.45,0.24522,0.28208
464.905,0.24672,0.28311
465.36,0.24711,0.28336
465.815,0.24816,0.2855
466.27,0.24894,0.28538
466.725,0.2488,0.28643
467.18,0.24856,0.28767
467.634,0.24927,0.28734
468.089,0.24993,0.28786
468.544,0.25011,0.28851
468.999,0.25077,0.28945
469.453,0.25052,0.29002
469.908,0.25177,0.29118
470.363,0.2527,0.29158
470.817,0.25208,0.29239
471.272,0.2533,0.29342
471.726,0.25265,0.29372
472.181,0.25327,0.29496
472.635,0.25403,0.29531
473.09,0.2546,0.2964
473.544,0.25394,0.29696
473.999,0.25408,0.29724
474.453,0.25467,0.29767
474.908,0.25524,0.29832
475.362,0.25586,0.29952
475.816,0.25522,0.2998
476.271,0.25652,0.30091
476.725,0.25645,0.30208
477.179,0.2567,0.30165
477.633,0.25733,0.30332
478.087,0.25821,0.30336
478.542,0.25768,0.30344
478.996,0.25798,0.30502
479.45,0.25864,0.3056
479.904,0.25818,0.30612
480.358,0.25902,0.3061
480.812,0.25843,0.30739
481.266,0.25837,0.30714
481.72,0.25983,0.30743
482.174,0.25918,0.30904
482.628,0.25919,0.30887
483.082,0.25964,0.30997
483.536,0.25927,0.31064
483.99,0.26011,0.31134
484.444,0.26053,0.31065
484.897,0.26044,0.31221
485.351,0.26057,0.31197
485.805,0.26021,0.31288
486.259,0.26101,0.31367
486.712,0.26096,0.31403
487.166,0.26099,0.31396
487.62,0.261,0.3154
488.073,0.26155,0.31585
488.527,0.26197,0.31575
488.981,0.26159,0.31702
489.434,0.26175,0.31675
489.888,0.26145,0.31747
490.341,0.26114,0.3189
490.795,0.26181,0.31825
491.248,0.26169,0.31973
491.701,0.26251,0.31945
492.155,0.26299,0.31994
492.608,0.26159,0.32054
493.062,0.26249,0.32199
493.515,0.26301,0.32127
493.968,0.26249,0.32197
494.421,0.26255,0.32337
494.875,0.26223,0.32263
495.328,0.26274,0.32302
495.781,0.26247,0.32318
496.234,0.26268,0.32379
496.687,0.26347,0.32484
497.14,0.26324,0.32545
497.594,0.26275,0.32477
498.047,0.26311,0.32616
498.5,0.26378,0.32743
498.953,0.26318,0.32741
499.406,0.26325,0.32745
499.859,0.26309,0.32795
500.311,0.26337,0.32842
500.764,0.26296,0.32918
501.217,0.26319,0.32925
501.67,0.26323,0.32967
502.123,0.26266,0.33007
502.576,0.26244,0.33021
503.028,0.26311,0.33103
503.481,0.26316,0.33103
503.934,0.26253,0.33166
504.387,0.2634,0.33177
504.839,0.26245,0.33221
505.292,0.26285,0.3328
505.745,0.26273,0.33308
506.197,0.26264,0.3337
506.65,0.26271,0.33408
507.102,0.26286,0.33415
507.555,0.26261,0.33467
508.007,0.26162,0.33432
508.46,0.2618,0.33515
508.912,0.26171,0.33462
509.364,0.26134,0.33447
509.817,0.26148,0.33544
510.269,0.2615,0.33631
510.721,0.26066,0.33575
511.174,0.26025,0.3364
511.626,0.2605,0.33731
512.078,0.26002,0.33722
512.531,0.25985,0.33701
512.983,0.25968,0.33782
513.435,0.25926,0.33682
513.887,0.25748,0.33757
514.339,0.25791,0.33727
514.791,0.25714,0.33744
515.243,0.25645,0.33769
515.695,0.25657,0.33689
516.147,0.25518,0.33687
516.599,0.25521,0.33733
517.051,0.2535,0.33619
517.503,0.25365,0.33675
517.955,0.25272,0.33616
518.407,0.25116,0.33742
518.859,0.25169,0.33666
519.311,0.2503,0.33546
519.762,0.25017,0.33575
520.214,0.24845,0.33457
520.666,0.24757,0.33476
521.118,0.24633,0.33499
521.569,0.24503,0.33428
522.021,0.2447,0.33468
522.473,0.24294,0.33258
522.924,0.24164,0.3336
523.376,0.24066,0.33291
523.827,0.23982,0.3321
524.279,0.23874,0.33138
524.73,0.23774,0.33094
525.182,0.23631,0.32984
525.633,0.23536,0.32973
526.085,0.23333,0.329
526.536,0.23239,0.32902
526.987,0.23062,0.32843
527.439,0.23006,0.32759
527.89,0.22931,0.3278
528.341,0.22826,0.32707
528.793,0.22606,0.3256
529.244,0.22484,0.32522
529.695,0.22401,0.32516
530.146,0.22242,0.32443
530.597,0.22236,0.3238
531.049,0.21963,0.32361
531.5,0.21928,0.32274
531.951,0.21852,0.32273
532.402,0.21812,0.32181
532.853,0.21603,0.32146
533.304,0.21626,0.32047
533.755,0.21477,0.32059
534.206,0.21377,0.32041
534.657,0.21281,0.31998
535.108,0.21173,0.31981
535.558,0.21122,0.32057
536.009,0.21095,0.31934
536.46,0.21057,0.31978
536.911,0.20927,0.31916
537.362,0.20991,0.31939
537.812,0.20807,0.31903
538.263,0.20786,0.31877
538.714,0.20783,0.31915
539.164,0.20668,0.31923
539.615,0.2073,0.31928
540.066,0.20724,0.31956
540.516,0.20635,0.31958
540.967,0.20639,0.32028
541.417,0.20644,0.31995
541.868,0.20721,0.32101
542.318,0.20737,0.32044
542.769,0.20775,0.32205
543.219,0.2074,0.32296
543.669,0.20732,0.32353
544.12,0.20756,0.32336
544.57,0.20857,0.325
545.02,0.20959,0.32436
545.471,0.21001,0.32608
545.921,0.20997,0.32712
546.371,0.21031,0.32769
546.821,0.21124,0.3289
547.272,0.21247,0.32928
547.722,0.21192,0.33058
548.172,0.21339,0.33135
548.622,0.21385,0.33253
549.072,0.2148,0.3329
549.522,0.2155,0.33548
549.972,0.21676,0.33642
550.422,0.21683,0.33553
550.872,0.21817,0.33711
551.322,0.21833,0.33853
551.772,0.21875,0.33983
552.222,0.21986,0.3392
552.671,0.22025,0.34058
553.121,0.22229,0.34216
553.571,0.22179,0.3423
554.021,0.22212,0.34314
554.471,0.22244,0.344
554.92,0.22268,0.34457
555.37,0.22359,0.34521
555.82,0.22354,0.34662
556.269,0.22401,0.34669
556.719,0.22441,0.34646
557.168,0.22478,0.34814
557.618,0.22444,0.34881
558.068,0.22467,0.34879
558.517,0.22418,0.34984
558.967,0.22496,0.34945
559.416,0.22399,0.349
559.865,0.22413,0.35002
560.315,0.22471,0.35001
560.764,0.22474,0.35054
561.213,0.22317,0.34932
561.663,0.22322,0.35056
562.112,0.22213,0.34971
562.561,0.22271,0.34962
563.011,0.22126,0.34994
563.46,0.22197,0.34968
563.909,0.22045,0.34981
564.358,0.22007,0.34951
564.807,0.21868,0.34896
565.256,0.2184,0.34768
565.705,0.21726,0.3486
566.154,0.21683,0.34805
566.603,0.21508,0.34682
567.052,0.21423,0.34613
567.501,0.21383,0.34628
567.95,0.21265,0.34572
568.399,0.21081,0.34452
568.848,0.21027,0.34496
569.297,0.20872,0.3435
569.746,0.2086,0.34249
570.195,0.20722,0.34269
570.643,0.20476,0.34215
571.092,0.20509,0.34124
571.541,0.20328,0.34102
571.989,0.20247,0.34085
572.438,0.20071,0.33961
572.887,0.20119,0.33931
573.335,0.20004,0.33876
573.784,0.19919,0.33877
574.232,0.19907,0.33925
574.681,0.19858,0.33885
575.129,0.19826,0.33936
575.578,0.19801,0.33878
576.026,0.19798,0.33912
576.475,0.19854,0.34035
576.923,0.19911,0.3415
577.372,0.19928,0.34169
577.82,0.19941,0.34216
